key	name	xpos	MtFreeze	MtLL	MtWmt
fr	French	1	31.43874145449612	35.759689006621805	47.829632929927094
es	Spanish	2	27.947617711338808	34.793151939227464	48.04784213486238
ru	Russian	3	29.03460054134939	37.24975237865812	47.60072693560543
zh	Chinese	4	22.16511079425617	35.18695882302875	47.48953501160444
ko	Korean	5	23.3342820621439	35.62131631958034	47.726811054654114
ar	Arabic	6	27.593383406757386	36.64599210391044	47.83652459202537
hi	Hindi	7	26.03534875204922	31.66851476335667	47.496426861662506
pz_real	Paren, real	8	10.46417271167862	34.95621290271466	47.46982144423841
pz_syn	Paren, synth	9	12.048223803232311	34.26320059376425	48.238421694703696
disc_large	Disc, large	10	24.689611477604245	30.73882182351124	47.682450781549505
disc_small	Disc, small	11	16.22354976411741	17.302641642978895	14.270729332178059
recon_1	Rec, large	12	18.374409208092313	25.35174977038324	22.491934180296344
yao	Yao+	13	20.051474723736252	25.55397649295927	3.987143167253534
mu_sw	Mu+, SW	14	18.433243822247537	23.28370052105332	3.3093823147931176
mu_cub	Mu+, CUB	15	21.574161122160948	24.579589823546836	47.59033171740222
rand	Random	16	3.0008366006472933	19.666147127996197	1.808097831638931
no_pt	No pretrain	17	4.3430220150942285	28.080276800221544	11.425941817724043
